"filename", "language", "XML", "Dart", "YAML", "Markdown", "JSON", "HTML", "Groovy", "Properties", "Java", "C++", "Shell Script", "Swift", "comment", "blank", "total"
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-kk/values-kk.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-km/values-km.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-kn/values-kn.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ko/values-ko.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ky/values-ky.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-lo/values-lo.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-lt/values-lt.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-lv/values-lv.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-mk/values-mk.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ml/values-ml.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-mn/values-mn.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-mr/values-mr.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ms/values-ms.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-my/values-my.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-nb/values-nb.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ne/values-ne.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-night-v8/values-night-v8.xml", "XML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 11
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-nl/values-nl.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-or/values-or.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-pa/values-pa.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-pl/values-pl.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-pt-rBR/values-pt-rBR.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-pt-rPT/values-pt-rPT.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-pt/values-pt.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ro/values-ro.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ru/values-ru.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-si/values-si.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sk/values-sk.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sl/values-sl.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sq/values-sq.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sr/values-sr.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sv/values-sv.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-sw/values-sw.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-ta/values-ta.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/fatiherguder/Desktop/gazihealty/build/app/intermediates/incremental/mergeDebugResources/merged.dir/values-te/values-te.xml", "XML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
